External_ID,id,city_id,other_error
res_partner_19592,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16489, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:07:40.239658, 1, 2018-01-18 17:07:40.239658, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_19590,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16490, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:07:40.692749, 1, 2018-01-18 17:07:40.692749, 1, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_15751,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16491, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:09:36.768741, 1, 2018-01-18 17:09:36.768741, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_15712,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16492, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:09:38.774102, 1, 2018-01-18 17:09:38.774102, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_16245,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16493, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:09:45.609386, 1, 2018-01-18 17:09:45.609386, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_15820,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16494, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:10:37.345616, 1, 2018-01-18 17:10:37.345616, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_15793,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16495, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:12:08.813104, 1, 2018-01-18 17:12:08.813104, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_16177,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16496, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:12:38.468978, 1, 2018-01-18 17:12:38.468978, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_16489,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16497, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:13:36.590755, 1, 2018-01-18 17:13:36.590755, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_15905,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16498, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:13:50.173304, 1, 2018-01-18 17:13:50.173304, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
