accounting_date,date,name,location_id,product_id,product_uom,product_qty
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020115,UND,4594.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020118,UND,9058.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202012,UND,36039.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020122,UND,4900.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202015,UND,49698.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202017,UND,34141.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202018,UND,33941.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020204,UND,21615.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020205,UND,7466.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020206,UND,9450.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020207,UND,29583.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020208,UND,261200.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020211,UND,12667.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020214,UND,896.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202030012,UND,4754.23
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202030013,UND,796.28
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202030014,UND,776.86
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202030015,MTS,6475.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202030016,MTS,3500.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202030017,MTS,4966.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202030018,MTS,1050.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202030019,MTS,3500.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202030020,MTS,5000.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202030021,MTS,1000.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202030022,MTS,1000.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202030023,MTS,1000.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202030024,MTS,116.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202030025,MTS,1000.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202030026,KG,3180.47
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020311,KG,269.72
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020315,UND,30572.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020316,UND,26634.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020317,UND,83600.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020318,UND,31786.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020323,UND,343.29
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020328,KG,298.37
