ciiu_id/.id,city_id/.id,tax_id/.id
72101,"Bogota, D.C.",6.9
72201,"Bogota, D.C.",6.9
73201,"Bogota, D.C.",6.9
74101,"Bogota, D.C.",6.9
74901,"Bogota, D.C.",6.9
5511,"Bogota, D.C.",13.8
5512,"Bogota, D.C.",13.8
5513,"Bogota, D.C.",13.8
5514,"Bogota, D.C.",13.8
5519,"Bogota, D.C.",13.8
5520,"Bogota, D.C.",13.8
5530,"Bogota, D.C.",13.8
5590,"Bogota, D.C.",13.8
5611,"Bogota, D.C.",13.8
5612,"Bogota, D.C.",13.8
5613,"Bogota, D.C.",13.8
5619,"Bogota, D.C.",13.8
5621,"Bogota, D.C.",13.8
5629,"Bogota, D.C.",13.8
5630,"Bogota, D.C.",13.8
8010,"Bogota, D.C.",13.8
8020,"Bogota, D.C.",13.8
8030,"Bogota, D.C.",13.8
64993,"Bogota, D.C.",13.8
161,"Bogota, D.C.",9.66
162,"Bogota, D.C.",9.66
164,"Bogota, D.C.",9.66
240,"Bogota, D.C.",9.66
910,"Bogota, D.C.",9.66
990,"Bogota, D.C.",9.66
1061,"Bogota, D.C.",9.66
1811,"Bogota, D.C.",9.66
1812,"Bogota, D.C.",9.66
1820,"Bogota, D.C.",9.66
2592,"Bogota, D.C.",9.66
3311,"Bogota, D.C.",9.66
3312,"Bogota, D.C.",9.66
3313,"Bogota, D.C.",9.66
3314,"Bogota, D.C.",9.66
3315,"Bogota, D.C.",9.66
3319,"Bogota, D.C.",9.66
3320,"Bogota, D.C.",9.66
3513,"Bogota, D.C.",9.66
3530,"Bogota, D.C.",9.66
3700,"Bogota, D.C.",9.66
3811,"Bogota, D.C.",9.66
3812,"Bogota, D.C.",9.66
4520,"Bogota, D.C.",9.66
4542,"Bogota, D.C.",9.66
4610,"Bogota, D.C.",9.66
5210,"Bogota, D.C.",9.66
5221,"Bogota, D.C.",9.66
5223,"Bogota, D.C.",9.66
5224,"Bogota, D.C.",9.66
5229,"Bogota, D.C.",9.66
5310,"Bogota, D.C.",9.66
5320,"Bogota, D.C.",9.66
5913,"Bogota, D.C.",9.66
6110,"Bogota, D.C.",9.66
6120,"Bogota, D.C.",9.66
6130,"Bogota, D.C.",9.66
6190,"Bogota, D.C.",9.66
6201,"Bogota, D.C.",9.66
6209,"Bogota, D.C.",9.66
6311,"Bogota, D.C.",9.66
6312,"Bogota, D.C.",9.66
6391,"Bogota, D.C.",9.66
6399,"Bogota, D.C.",9.66
6612,"Bogota, D.C.",9.66
6613,"Bogota, D.C.",9.66
6629,"Bogota, D.C.",9.66
66112,"Bogota, D.C.",9.66
6810,"Bogota, D.C.",9.66
6820,"Bogota, D.C.",9.66
7310,"Bogota, D.C.",9.66
7420,"Bogota, D.C.",9.66
7500,"Bogota, D.C.",9.66
7710,"Bogota, D.C.",9.66
7721,"Bogota, D.C.",9.66
7722,"Bogota, D.C.",9.66
7729,"Bogota, D.C.",9.66
7730,"Bogota, D.C.",9.66
7740,"Bogota, D.C.",9.66
7810,"Bogota, D.C.",9.66
7820,"Bogota, D.C.",9.66
7830,"Bogota, D.C.",9.66
7911,"Bogota, D.C.",9.66
7912,"Bogota, D.C.",9.66
7990,"Bogota, D.C.",9.66
8110,"Bogota, D.C.",9.66
8121,"Bogota, D.C.",9.66
8129,"Bogota, D.C.",9.66
8130,"Bogota, D.C.",9.66
8211,"Bogota, D.C.",9.66
8219,"Bogota, D.C.",9.66
8220,"Bogota, D.C.",9.66
8230,"Bogota, D.C.",9.66
8291,"Bogota, D.C.",9.66
8292,"Bogota, D.C.",9.66
8299,"Bogota, D.C.",9.66
8541,"Bogota, D.C.",9.66
8542,"Bogota, D.C.",9.66
