id,country_id,write_uid,create_uid
res_country_state_128,192,1,1
res_country_state_129,192,1,1
res_country_state_628,101,1,1
res_country_state_122,192,1,1
res_country_state_335,110,1,1
res_country_state_133,192,1,1
res_country_state_624,101,1,1
res_country_state_25,235,1,1
res_country_state_625,101,1,1
res_country_state_470,158,1,1
res_country_state_627,101,1,1
res_country_state_471,158,1,1
res_country_state_26,235,1,1
res_country_state_131,192,1,1
res_country_state_445,69,1,1
res_country_state_562,11,1,1
res_country_state_629,101,1,1
res_country_state_27,235,1,1
res_country_state_472,158,1,1
res_country_state_353,110,1,1
res_country_state_594,105,1,1
res_country_state_444,69,1,1
res_country_state_352,110,1,1
res_country_state_134,192,1,1
res_country_state_354,110,1,1
res_country_state_135,192,1,1
res_country_state_442,69,1,1
res_country_state_355,110,1,1
res_country_state_301,250,1,1
res_country_state_351,110,1,1
res_country_state_446,69,1,1
res_country_state_356,110,1,1
res_country_state_280,66,1,1
res_country_state_564,11,1,1
res_country_state_447,69,1,1
res_country_state_448,69,1,1
res_country_state_630,101,1,1
res_country_state_80,32,1,1
res_country_state_42,235,1,1
res_country_state_136,192,1,1
res_country_state_365,110,1,1
res_country_state_534,39,1,1
res_country_state_522,172,1,1
res_country_state_357,110,1,1
res_country_state_41,235,1,1
res_country_state_362,110,1,1
res_country_state_137,192,1,1
res_country_state_28,235,1,1
res_country_state_500,157,1,1
res_country_state_83,32,1,1
res_country_state_596,105,1,1
res_country_state_63,235,1,1
res_country_state_43,235,1,1
res_country_state_363,110,1,1
res_country_state_498,157,1,1
res_country_state_449,69,1,1
res_country_state_598,105,1,1
res_country_state_473,158,1,1
res_country_state_597,105,1,1
res_country_state_277,66,1,1
res_country_state_358,110,1,1
res_country_state_44,235,1,1
res_country_state_276,66,1,1
res_country_state_46,235,1,1
res_country_state_138,192,1,1
res_country_state_364,110,1,1
res_country_state_499,157,1,1
res_country_state_139,192,1,1
res_country_state_140,192,1,1
res_country_state_595,105,1,1
res_country_state_64,235,1,1
res_country_state_302,250,1,1
res_country_state_82,32,1,1
res_country_state_359,110,1,1
res_country_state_45,235,1,1
res_country_state_360,110,1,1
res_country_state_293,66,1,1
res_country_state_29,235,1,1
res_country_state_81,32,1,1
res_country_state_450,69,1,1
res_country_state_631,101,1,1
res_country_state_141,192,1,1
res_country_state_521,172,1,1
res_country_state_599,105,1,1
res_country_state_565,11,1,1
res_country_state_366,110,1,1
res_country_state_451,69,1,1
res_country_state_501,157,1,1
res_country_state_632,101,1,1
res_country_state_535,39,1,1
res_country_state_303,250,1,1
res_country_state_36,235,1,1
res_country_state_37,235,1,1
res_country_state_30,235,1,1
res_country_state_143,192,1,1
res_country_state_32,235,1,1
res_country_state_142,192,1,1
res_country_state_33,235,1,1
res_country_state_502,157,1,1
res_country_state_536,39,1,1
res_country_state_300,250,1,1
res_country_state_600,105,1,1
res_country_state_34,235,1,1
res_country_state_367,110,1,1
res_country_state_538,39,1,1
res_country_state_523,172,1,1
res_country_state_474,158,1,1
res_country_state_2,14,1,1
res_country_state_3,14,1,1
res_country_state_633,101,1,1
res_country_state_537,39,1,1
res_country_state_524,172,1,1
res_country_state_368,110,1,1
res_country_state_539,39,1,1
res_country_state_31,235,1,1
res_country_state_144,192,1,1
res_country_state_304,250,1,1
res_country_state_35,235,1,1
res_country_state_421,69,1,1
res_country_state_503,157,1,1
res_country_state_369,110,1,1
res_country_state_38,235,1,1
res_country_state_39,235,1,1
res_country_state_145,192,1,1
res_country_state_540,39,1,1
res_country_state_371,110,1,1
